Index|Word|Definition|Grouping

3441|Limpid|Clear, Transparent, Or Pellucid, As Water, Crystal, Or Air|Adjective

3442|Linchpin|A Pin Through Holes At The End Of An Axle To Secure A Wheel|Noun

3443|Lineage|Descent In A Line From A Common Progenitor, Race|Noun

3444|Linear|Having The Form Of A Line, Straight|Adjective

3445|Liner|Someone Who Fits A Lining To Something|Noun

3446|Lingo|Language, Jargon Or A Dialect|Noun

3447|Lingua|Language|Noun

3448|Lingual|Related To The Tongue|Adjective

3449|Liniment|A Liquid Or Semi Liquid Preparation For Applying To The Skin|Noun

3450|Lionize|To Treat (A Person) As A Celebrity|Verb

3451|Liquefacient|Something That Liquefies Or Promotes Liquefaction|Noun

3452|Liquefy|To Make Into A Liquid By Condensing A Gas Or Melting A Solid|Verb

3453|Liqueur|A Flavored Alcoholic Beverage That Is Usually Very Sweet|Noun

3454|Liquidate|To Settle A Debt By Paying The Outstanding Amount|Verb

3455|Liquor|To Drink Liquor, Usually To Excess|Verb

3456|Lissome|Lithe, Quick And Graceful In Movement|Adjective

3457|Listless|Having Or Showing Little Or No Interest In Anything, Languid|Adjective

3458|Litany|A Prolonged Or Tedious Account|Noun

3459|Literacy|The Ability To Read|Noun

3460|Literal|Exactly As Stated, Understood Without Extra Interpretation|Adjective

3461|Literati|Persons Of Scholarly Or Literary Attainments, Intellectuals|Noun

3462|Literature|The Body Of All Written Works|Noun

3463|Lithe|Bending Readily, Pliant, Limber|Adjective

3464|Lithesome|Describing As Being Lithe|Adjective

3465|Lithograph|To Create A Copy Of An Image Through Lithography|Verb

3466|Lithotype|A Printing Plate Used In Lithotypography|Noun

3467|Litigant|A Person Engaged In A Lawsuit|Noun

3468|Litigate|To Go To Law|Verb

3469|Litigious|Of Or Relating To Litigation|Adjective

3470|Littoral|Of Or Relating To The Shore, Especially The Seashore|Adjective

3471|Liturgy|A Form Of Public Worship, Ritual|Noun

3472|Livelihood|A Person'S Lifetime, Or Their Manner Of Living|Noun

3473|Livid|Enraged, Furiously Angry|Adjective

3474|Loam|A Rich, Friable Soil|Noun

3475|Loath|Unwilling, Reluctant, Averse, Disinclined|Adjective

3476|Loathe|To Hate, Detest, Revile|Verb

3477|Lobbyist|A Person Remunerated To Persuade (To Lobby) Politicians|Noun

3478|Locative|Indicating Place, Or The Place Where, Or Wherein|Adjective

3479|Loch|A Lake|Noun

3480|Locomotion|The Ability To Move Or The Act Of Moving From Place To Place|Noun

3481|Lode|A Rich Supply Or Source|Noun

3482|Lodgment|An Area Used For Lodging|Noun

3483|Lofty|High, Tall, Having Great Height Or Stature|Adjective

3484|Logic|The Principles Governing Correct Or Reliable Inference|Noun

3485|Logical|In Agreement With The Principles Of Logic|Adjective

3486|Logician|A Person Who Studies Or Teaches Logic|Noun

3487|Logistics|The Planning, Implementation, And Coordination Of Details|Noun

3488|Loiterer|One Who Loiters, One Who Lingers Or Hangs Around|Noun

3489|Loll|To Act Lazily Or Indolently, To Recline, To Lean|Verb

3490|Longevity|The Quality Of Being Long-Lasting, Especially Of Life|Noun

3491|Loot|To Steal, Especially As Part Of War, Riot|Verb

3492|Loquacious|Talking Or Tending To Talk Much Or Freely, Talkative|Adjective

3493|Loquacity|Talkativeness|Noun

3494|Lordling|An Unimportant Or Petty Lord|Noun

3495|Lough|A Lake Or Long, Narrow Inlet, Especially In Ireland|Noun

3496|Louse|To Remove Lice From The Body Of A Person Or Animal|Verb

3497|Lucid|Easily Understood, Completely Intelligible Or Comprehensible|Adjective

3498|Lucrative|Producing A Surplus, Profitable|Adjective

3499|Lucubration|Laborious Work, Study, Thought, Etc , Especially At Night|Noun

3500|Ludicrous|Idiotic Or Unthinkable, Often To The Point Of Being Funny|Adjective

3501|Lugubrious|Mournful, Dismal Or Gloomy, Especially In An Affected Manner|Adjective

3502|Lukewarm|Temperature Between Warm And Cool|Adjective

3503|Lumen|The Amount Of Light That Falls On A Unit Area|Noun

3504|Luminary|One That Is An Inspiration To Others, Who Has Had Success|Noun

3505|Luminous|Emitting Light, Glowing Brightly|Adjective

3506|Lummox|A Clumsy, Stupid Person|Noun

3507|Lunacy|The State Of Being Mad, Insanity|Noun

3508|Lunar|Of, Or Pertaining To, The Moon|Adjective

3509|Lunatic|An Insane Person|Noun

3510|Lune|Anything Shaped Like A Crescent Or A Half Moon|Noun

3511|Lurid|Shocking, Horrifying|Adjective

3512|Luscious|Sweet And Pleasant, Delicious|Adjective

3513|Lustrous|Having A Glow, Having Luster, Shining|Adjective

3514|Luxuriate|To Enjoy Luxury|Verb

3515|Luxurious|Enjoying Pleasures Of Luxury|Adjective

3516|Lying|Characterized By Luxury, Ministering Or Conducive To Luxury|Adjective

3517|Lynch|To Execute Without A Proper Trial, Especially By Hanging|Verb

3518|Lyre|A Stringed Musical Instrument|Noun

3519|Macabre|Representing Or Personifying Death|Adjective

3520|Macadamize|To Cover With Small, Broken Stones To Form A Smooth Surface|Verb

3521|Macerate|To Soften Or Separate (Something) Into Pieces By Soaking|Verb

3522|Machination|A Clever Scheme Or Artful Plot, Usually Crafted For Evil|Noun

3523|Machinations|Plural Form Of Machination|Noun

3524|Machinery|The Parts Of A Machine, Collectively|Noun

3525|Machinist|One Versed In The Principles Of Machines|Noun

3526|Macrocosm|A Complex Structure, Considered A Single Entity|Noun

3527|Madden|To Make Angry|Verb

3528|Madrigal|A Song For A Small Number Of Unaccompanied Voices|Noun

3529|Maelstrom|A Large, Powerful, Or Violent Whirlpool|

3530|Magician|An Entertainer Skilled In Creating Illusions|Noun

3531|Magisterial|Befitting The Status Of A Master, Authoritative|Adjective

3532|Magistracy|The Office Or Dignity Of A Magistrate|Noun

3533|Magnanimous|Generous In Forgiving An Insult Or Injury|Adjective

3534|Magnate|A Person Of Great Influence In A Particular Field|Noun

3535|Magnet|A Thing Or Person That Attracts|Noun

3536|Magnetize|To Make Magnetic|Verb

3537|Magnificence|Grandeur, Brilliance, Lavishness Or Splendor|Noun

3538|Magniloquent|Speaking Pompously, Using Swelling Discourse, Bombastic|Adjective

3539|Magnitude|Size, Extent, Dimensions|Noun

3540|Maharaja|A Ruling Prince In India, Especially One Of Major States|Noun

3541|Maidenhood|The Time When One Is A Maiden Or Young Girl|Noun

3542|Maize|Corn, A Type Of Grain Of The Species Zea Mays|Noun

3543|Maladroit|Unskillful, Awkward, Bungling|Adjective

3544|Malady|Any Ailment Or Disease Of The Human Body|Noun

3545|Malaise|A Feeling Of General Bodily Discomfort Or Unpleasantness|Noun

3546|Malapropism|The Use Of An Inappropriate Word In Place Of A Similar One|Noun

3547|Malaria|Disease Characterized By Chills, Fever, And Sweating|Noun

3548|Malcontent|Dissatisfied With Current Conditions, Discontented|Adjective

3549|Malediction|A Curse, Imprecation, Slander|Noun

3550|Malefactor|A Criminal Or Felon|Noun

3551|Maleficent|Harmful Or Evil In Intent Or Effect|Adjective

3552|Malevolent|Having Or Displaying Ill Will, Wishing Harm On Others|Adjective

3553|Malfeasance|An Act By A Public Official That Is Contrary To Law|Noun

3554|Malicious|Of, Pertaining To, Or As A Result Of Malice Or Spite|Adjective

3555|Malign|To Make Defamatory Statements About Someone Or Something|Verb

3556|Malignant|Disposed To Cause Harm, Suffering, Or Distress Deliberately|Adjective

3557|Malinger|To Pretend Illness, Especially In Order To Shirk One'S Duty|Verb

3558|Malingerer|A Person Who Malingers|Noun

3559|Malleable|Capable Of Being Extended Or Shaped By Hammering Or Pressure|Adjective

3560|Mallet|A Hammerlike Tool With A Head Commonly Of Wood|Noun

3561|Maltreat|To Treat Badly|Verb

3562|Mandate|Authorization To Act In A Particular Way On A Public Issue|Noun

3563|Mane|The Long Hair Growing On The Neck Of Some Animals|Noun

3564|Maneuver|To Move (Something) Carefully, And Often With Difficulty|Verb

3565|Mania|Violent Derangement Of Mind, Madness, Insanity|Noun

3566|Manifest|To Show Plainly, To Make To Appear Distinctly|Verb

3567|Manifold|To Make Manifold, Multiply|Verb

3568|Manipulatable|Capable Of Being Manipulated|Adjective

3569|Mannerism|A Group Of Habitual Behaviors Peculiar To An Individual|Noun

3570|Manor|A Landed Estate|Noun

3571|Mantel|The Shelf Above A Fireplace|Noun

3572|Mantle|To Cover Or Conceal (Something)|Verb

3573|Manufacturer|A Company That Owns Or Runs A Manufacturing Plant|Noun

3574|Manumission|Release From Slavery, Freedom, The Act Of Manumitting|Noun

3575|Manumit|To Release From Slavery, To Free|Verb

3576|Mar|To Damage Or Spoil, Render Less Perfect, Attractive|Verb

3577|Maraud|To Roam Or Go Around In Quest Of Plunder|Verb

3578|Marauder|Someone Who Moves About Looking For Plunder|Noun

3579|Marginal|Of, Relating To, Or Located At A Margin Or An Edge|Adjective

3580|Marine|Pertaining To The Sea (Marine Biology, Marine Insurance)|Adjective

3581|Maritime|Related To The Sea Or Sailing|Adjective

3582|Maroon|To Abandon In A Remote, Desolate Place|Verb

3583|Marquee|A Large Tent With Open Sides, Used For Outdoor Entertainment|Noun

3584|Marred|Impaired Appearance|Verb

3585|Marshal|To Arrange Troops Etc  In Line For Inspection Or A Parade|Verb

3586|Marsupial|Mammal Of The Order Of Marsupialia, I.E. Kangaroos, Wombats|Noun

3587|Martial|Of, Relating To, Or Suggestive Of War, Warlike|Adjective

3588|Martian|Of Or Pertaining To The Planet Mars|Adjective

3589|Martinet|A Strict Disciplinarian, Especially A Military One|Noun

3590|Martyrdom|The Suffering Of Death On Account Of Adherence To A Cause|Noun

3591|Marvel|To Become Filled With Wonderment Or Admiration|Verb

3592|Masochist|Someone Who Enjoys Pain|Noun

3593|Masonry|The Art Or Occupation Of A Mason, Stonework|Noun

3594|Masquerade|To Assemble In Masks, To Take Part In A Masquerade|Verb

3595|Massacre|To Kill Unnecessarily And Indiscriminately|Verb

3596|Massive|Of Or Pertaining To A Large Mass, Weighty, Heavy, Or Bulky|Adjective

3597|Mastery|The Position Or Authority Of A Master, Command|Noun

3598|Masticate|To Chew|Verb

3599|Material|Having To Do With Matter|Adjective

3600|Maternal|Having The Characteristics Of A Mother, Motherly|Adjective

3601|Matinee|The Afternoon Showing Of A Movie Or Theatrical Performance|Noun

3602|Matriarch|A Female Leader Of A Family, A Tribe Or Group|Noun

3603|Matricide|The Killing Of One'S Mother|Noun

3604|Matriculate|To Enroll In A College Or University As A Degree Candidate|Verb

3605|Matrimony|Marriage Or The State Of Being Married|Noun

3606|Matrix|A Thing Constituting The Point From Which Another Originates|Noun

3607|Matter|To Be Important|Verb

3608|Maudlin|Tearfully Or Weakly Emotional, Foolishly Sentimental|

3609|Maul|A Heavy Hammer, As For Driving Stakes Or Wedges|Noun

3610|Mausoleum|A Large Stately Tomb|Noun

3611|Maverick|A Person Of Independent Or Unorthodox Views|Noun

3612|Mawkish|Characterized By Sickly Sentimentality, Maudlin|Adjective

3613|Maxim|An Expression Of A General Truth Or Principle|Noun

3614|Mead|An Alcoholic Drink Fermented From Honey And Water|Noun

3615|Meager|Deficient In Quantity Or Quality, Lacking Fullness|Adjective

3616|Meander|To Wind, Turn, Or Twist, To Make Flexuous, To Wander|Verb

3617|Mechanics|Branch Of Mathematics Dealing With Motion And Forces|Noun

3618|Medallion|A Large Medal, Usually Decorative|Noun

3619|Meddlesome|Having A Tendency To Interfere In Other People'S Business|Adjective

3620|Medial|Of Or Pertaining To A Mean Or Average|Adjective

3621|Mediate|To Resolve Differences Between Conflicting Parties|Verb

3622|Medicine|A Substance Which Promotes Healing When Consumed In Some Way|Noun

3623|Medieval|In The Style Of The Middle Ages|Adjective

3624|Mediocre|Ordinary, Not Extraordinary, Not Special|Adjective

3625|Meditation|A Devotional Exercise Of, Or Leading To Contemplation|Noun

3626|Medley|A Mixture, Especially Of Heterogeneous Elements, Hodgepodge|Noun

3627|Meek|Humbly Patient Or Docile, As Under Provocation From Others|Adjective

3628|Megalomania|A Symptom Of Mental Illness Marked By Delusions Of Greatness|Noun

3629|Melancholy|Affected With Great Sadness Or Depression|Adjective

3630|Melange|A Collection Containing A Variety Of Miscellaneous Things|Noun

3631|Melee|A Confused Hand-To-Hand Fight Among Several People|Noun

3632|Meliorate|To Make Better, To Improve, To Heal Or Solve A Problem|Verb

3633|Mellifluous|Sweetly Or Smoothly Flowing, Sweet-Sounding|Adjective

3634|Mellow|Soft, Sweet, And Full-Flavored From Ripeness, As Fruit|Adjective

3635|Melodious|Having A Pleasant Melody Or Sound, Tuneful|Adjective

3636|Memento|A Keepsake, An Object Kept As A Reminder Of A Place Or Event|Noun

3637|Memorable|Worthy To Be Remembered, Very Important Or Remarkable|Adjective

3638|Menace|Something That Threatens To Cause Evil Or Harm, A Threat|Noun

3639|Menagerie|A Collection Of Live Wild Animals On Exhibition|Noun

3640|Mendacious|Lying, Untruthful Or Dishonest|Adjective

3641|Mendacity|Untruthfulness, Tendency To Lie|Noun

3642|Mendicant|Begging, Living On Alms|Adjective

3643|Menial|Of Or Relating To Work Normally Performed By A Servant|Adjective

3644|Mentality|A Mindset, A Way Of Thinking|Noun

3645|Mentor|A Wise And Trusted Counselor Or Teacher|Noun

3646|Mephitic|Foul-Smelling|Adjective

3647|Mercantile|Concerned With The Exchange Of Goods For Profit|Adjective

3648|Mercenary|Working Or Acting Merely For Money Or Other Reward|Adjective

3649|Merciful|Showing Mercy|Adjective

3650|Mercurial|Changeable, Volatile, Fickle|Adjective

3651|Meretricious|Alluring By A Show Of Flashy Or Vulgar Attractions|Adjective

3652|Merge|To Combine Into A Whole|Verb

3653|Meritocracy|A Society Where Status Is Assigned Through Competition|Noun

3654|Meritorious|Deserving Of Merit Or Commendation, Deserving Reward|Adjective

3655|Merriment|Cheerful Or Joyful Gaiety, Mirth, Hilarity, Laughter|Noun

3656|Mesmerize|To Exercise Mesmerism On, To Spellbind, To Enthrall|Verb

3657|Messieurs|Plural Form Of Monsieur|Noun

3658|Metallurgy|The Science Of Metals, Their Extraction From Ores, Etc|Noun

3659|Metamorphose|To Change The Form Or Nature Of, Transform|Verb

3660|Metaphor|Figure Of Speech: Something Used To Represent Something Else|Noun

3661|Metaphysics|The Underlying Theoretical Principles Of A Subject Or Field|Noun

3662|Mete|To Measure|Verb

3663|Metempsychosis|Transmigration Of The Soul, Especially Its Reincarnation|Noun

3664|Methodology|A Sat Of Principles For Regulating A Given Discipline|Noun

3665|Meticulous|Showing Extreme Care About Minute Details, Precise|Adjective

3666|Metonymy|Figure Of Speech: An Object'S Name Used For A Related Object|Noun

3667|Metronome|A Device Used To Mark Time With Ticks At An Adjustible Pace|Noun

3668|Metropolis|A Large, Busy City|Noun

3669|Mettle|A Quality Of Endurance And Courage|Noun

3670|Miasma|Noxious Exhalations From Putrescent Organic Matter|Noun

3671|Microcosm|Man Considered As A Miniature Counterpart Of The Universal|Noun

3672|Micrometer|One One-Millionth Of A Meter Symbols: Μm, Um, Rm|Noun

3673|Microphone|To Put One Or More Microphones On Or In|Verb

3674|Microscopic|Invisible Without The Use Of The Microscope|Adjective

3675|Microscopy|The Study Of Microscopes, Their Design And Manufacture|Noun

3676|Midwife|A Person Trained To Assist Women In Childbirth|Noun

3677|Mien|Demeanor Or Attitude, Especially One Intended By Its Bearer|Noun

3678|Migrate|To Move From One Region To Another According To The Seasons|Verb

3679|Migratory|A Species Or Thing That Migrates|Adjective

3680|Mileage|The Total Distance, In Miles, Travelled|Noun

3681|Milieu|A PersonS Social Setting Or Environment|Noun

3682|Militant|Aggressive Or Combative|Adjective

3683|Militarism|Ideology: Military Is The Foundation Of A Society'S Security|Noun

3684|Militate|To Have A Substantial Effect, Weigh Heavily|Verb

3685|Militia|An Army Of Trained Civilians Called Upon In Time Of Need|Noun

3686|Millennium|A Period Of Time Consisting Of One Thousand Years|Noun

3687|Millet|Any Of A Group Of Various Types Of Grass Used As Food|Noun

3688|Mimic|To Imitate, Especially In Order To Ridicule|Verb

3689|Miniature|Smaller Than Normal|Adjective

3690|Minimize|To Make (Something) As Small Or As Insignificant As Possible|Verb

3691|Minion|"Favoured, Beloved, ""Pet"""|Adjective

3692|Ministration|The Act Of Ministering Care, Aid, Religious Services, Etc|Noun

3693|Ministry|The Service, Function, Or Office Of A Minister  Of State|Noun

3694|Minority|Any Subgroup That Does Not Form A Numerical Majority|Noun

3695|Minuscule|Tiny, Very Small|Adjective

3696|Minutia|A Minor Detail, Often Of Negligible Importance|Noun

3697|Mirage|Something Illusory, Without Substance Or Reality|Noun

3698|Mire|To Weigh Down|Verb

3699|Mirth|Gaiety Or Jollity, Especially When Accompanied By Laughter|Noun

3700|Misadventure|An Accidental Mishap Or Misfortune|Noun

3701|Misanthrope|A Hater Of Human Kind|Noun

3702|Misapprehend|To Interpret Incorrectly, To Misunderstand|Verb

3703|Misbehave|To Act Or Behave In An Inappropriate Or Improper Manner|Verb

3704|Miscellany|Miscellaneous Items|Noun

3705|Mischievous|Causing Mischief, Injurious|Adjective

3706|Misconstrue|To Understand Incorrectly, To Misunderstand|Verb

3707|Miscount|To Incorrectly Count Or Add Up|Verb

3708|Miscreant|Depraved, Villainous Or Base|Adjective

3709|Misdeed|That Which Was Done That Should Not Have Been|Noun

3710|Misdemeanor|A Crime Punishable By A Small Fine Or A Short Prison Term|Noun

3711|Miser|A Person Who Lives In Poor Conditions In Order To Save Money|Noun

3712|Miserly|Like A Miser, Very Covetous, Stingy, Cautious With Money|Adjective

3713|Mishap|An Accident, Mistake, Or Problem|Noun

3714|Misinterpret|To Make An Incorrect Interpretation, To Misunderstand|Verb

3715|Mislay|To Lose Temporarily, Misplace|Verb

3716|Mismanage|To Handle A Responsibility In A Way Which Is Inept|Verb

3717|Misnomer|To Use A Misleading Term, To Misname|Verb

3718|Misogamy|Hatred Of Or Opposition To Marriage|Noun

3719|Misogyny|Hatred Or Contempt For Women|Noun

3720|Misplace|To Put Something Somewhere And Then Forget Its Location|Verb

3721|Misrepresent|To Represent Falsely, To Inaccurately Portray Something|Verb

3722|Misrule|Of A Trial Judge, To Make A Bad Decision In Court|Verb

3723|Missal|Any Book Of Prayers Or Devotions|Noun

3724|Missile|An Object Intended To Be Launched Into The Air At A Target|Noun

3725|Missive|A Written Message, A Letter, Note Or Memo|Noun

3726|Mistrust|To Have No Confidence In Something|Verb

3727|Misty|With Mist, Foggy|Adjective

3728|Misuse|To Use (Something) Incorrectly|Verb

3729|Mite|A Minute Arachnid|Noun

3730|Miter|To Finish A Material At An Angle, As With Sides Of A Frame|Verb

3731|Mitigate|To Lessen In Force Or Intensity, Moderate|Verb

3732|Mnemonic|Assisting Or Intended To Assist The Memory|Adjective

3733|Moat|A Deep Ditch, Usually Filled With Water, Around A Fort|Noun

3734|Mobocracy|Rule Or Control By The Mob, Or By A Mass Of Ordinary People|Noun

3735|Moccasin|Soft Leather Shoe, Originally Worn By Native Americans|Adjective

3736|Mockery|The Action Of Mocking, Ridicule, Derision|Noun

3737|Moderate|To Reduce The Excessiveness Of (Something)|Verb

3738|Moderation|Avoidance Of Extremes, Restraint|Noun

3739|Moderator|Someone Who Moderates|Noun

3740|Modernity|The Quality Of Being Modern|Noun

3741|Modicum|A Moderate Or Small Amount|Noun

3742|Modification|The Act Or Result Of Altering Something|Noun

3743|Modify|To Make Partial Changes To|Verb

3744|Modish|Conforming With Fashion Or Style|Adjective

3745|Modulate|To Regulate, Adjust Or Adapt|Verb

3746|Mollify|To Soften In Feeling Or Temper, As A Person, Pacify, Appease|Verb

3747|Molt|To Shed Hair, Feathers, Etc  And Replace With A Fresh Layer|Verb

3748|Momentary|Lasting For Only A Moment|Adjective

3749|Momentous|Outstanding In Importance|Adjective

3750|Momentum|(Of A Body In Motion) The Product Of Its Mass And Velocity|Noun

3751|Monarch|A Hereditary Sovereign, As A King, Queen, Or Emperor|Noun

3752|Monastery|Place Of Residence For Members Of A Religious Community|Noun

3753|Monastic|Of Or Relating To Monasteries Or Monks|Adjective

3754|Monetary|Of, Pertaining To, Or Consisting Of Money|Adjective

3755|Mongrel|Someone Of Mixed Kind Or Uncertain Origin, Especially A Dog|Noun

3756|Monition|A Caution Or Warning Of Imminent Danger|Noun

3757|Monitory|Giving Admonition And Warning|Adjective

3758|Monocracy|Government By Only One Person, Autocracy|Noun

3759|Monogram|A Design Of Letters Interlaced, Commonly One'S Initials|Noun

3760|Monograph|A Treatise On A Particular Subject|Noun

3761|Monolith|A Large Object Formed Of A Single Block Of Stone|Noun

3762|Monologue|A Prolonged Talk By A Single Speaker|Noun

3763|Monomania|Excessive Interest On A Singular Object Or Subject|Noun

3764|Monopoly|The Exclusive Possession Or Control Of Something|Noun

3765|Monosyllable|A Word Of One Syllable|Noun

3766|Monotone|A Series Of Speech Sounds In One Unvaried Tone|Noun

3767|Monotony|Tedium As A Result Of Repetition Or A Lack Of Variety|Noun

3768|Monstrosity|A Plant Or Animal Showing Abnormal Development Or Deformity|Noun

3769|Montage|A Single Composition Of Images From Various Sources|Noun

3770|Moonbeam|A Shaft Of Moonlight, Moonlight Generally|Noun

3771|Moot|Of Little Or No Practical Value Or Meaning, Purely Academic|Verb

3772|Morale|Mental Condition With Respect To Confidence, Zeal, Etc|Noun

3773|Morass|A Tract Of Soft, Wet Ground, A Marsh, A Fen|Noun

3774|Moratorium|An Authorized Period Of Delay Or Waiting, Regarding Debts|Noun

3775|Morbid|Suggesting An Unhealthy Mental State, Unwholesomely Gloomy|Adjective

3776|Mordacious|Biting, Causing A Physical Bite Or Sting, Corrosive|Adjective

3777|Mordant|Sharply Caustic Or Sarcastic, As Wit Or A Speaker, Biting|Adjective

3778|Mores|A Set Of Moral Norms Derived From Accepted Practices|Noun

3779|Moribund|In A Dying State, Near Death|Adjective

3780|Morose|Gloomily Or Sullenly Ill-Humored, As A Person Or Mood|Adjective

3781|Morphology|The Part Of Biology Dealing With The Structure Of Organisms|Noun

3782|Mortician|An Undertaker Or Funeral Director|Noun

3783|Mortify|To Humiliate Or Shame, As By Injury To One'S Pride|Verb

3784|Mosaic|An Image Made Of Small, Colored Pieces Of Glass|Noun

3785|Mot Juste|The Exact, Appropriate Word|Noun

3786|Mote|A Small Particle Or Speck, Especially Of Dust|Noun

3787|Motif|A Recurring Or Dominant Element, A Theme|Noun

3788|Motley|Comprising Greatly Varied Elements, Heterogeneous|Adjective

3789|Mottled|To Mark With Spots Or Blotches Of A Different Color|Verb

3790|Motto|A Maxim Adopted As An Expression Of A Guiding Principle|Noun

3791|Mountaineer|Someone Who Lives In A Mountainous Area|Noun

3792|Mountainous|Having Many Mountains, Rough (Terrain), Rocky|Adjective

3793|Mountebank|A Person Selling Quack Medicines, In A Public Place|Noun

3794|Muddle|To Mix Together, To Mix Up, To Confuse|Verb

3795|Muffle|To Wrap Up In Fabric For Warmth Or Protection|Verb

3796|Mulatto|A Person Of Mixed African And Caucasian Descent|Noun

3797|Muleteer|A Mule Driver|Noun

3798|Multifarious|Having Multiplicity, Having Great Diversity Or Variety|Adjective

3799|Multiform|Having More Than One Shape Or Appearance|Adjective

3800|Multiplicity|A Large Number Or Variety|Noun

3801|Mundane|Common, Ordinary, Banal, Unimaginative|Adjective

3802|Mundane|Lacking Interest Or Excitement; Dull.|Adjective

3803|Municipal|Of A City Which Administers Local Government|Adjective

3804|Munificence|The Quality Of Being Munificent, Generosity|Noun

3805|Munificent|Larger Or More Generous Than Is Usual Or Necessary|Adjective

3806|Murky|Hard To See Through, As A Fog Or Mist|Adjective

3807|Muse|To Become Lost In Thought, To Ponder|Verb

3808|Muster|To Gather, Summon, Rouse (Often Followed By Up )|Verb

3809|Musty|Having A Stale Odor|Adjective

3810|Mutable|Liable Or Subject To Change Or Alteration|Adjective

3811|Mutation|Any Alteration Or Change|Noun

3812|Mutilate|To Injure Or Make Imperfect By Irreparably Damaging Parts|Verb

3813|Mutiny|Revolt Or Rebellion Against Constituted Authority|Noun

3814|Myopia|A Disorder Of The Eyes Where Distant Objects Appear Blurred|Noun

3815|Myriad|A Very Great Or Indefinite Number Of Persons Or Things|Noun

3816|Mystic|Involving Otherworldly Or Symbolic Practices Or Content|Adjective

3817|Mystification|The Act Of Mystifying Or The Condition Of Being Mystified|Noun

3818|Mystique|An Aura Of Heightened Meaning Or Mystery Around A Thing|Noun

3819|Nadir|The Lowest Point, Point Of Greatest Adversity Or Despair|Noun

3820|Naphtha|Naturally-Occurring Liquid Petroleum|Noun

3821|Narcissus|A Bulbous Plant Of The Amyrillis Family|Noun

3822|Narrate|To Relate A Story Or Series Of Events By Speech Or Writing|Verb

3823|Nasal|Of Or Pertaining To The Nose|Adjective

3824|Nascent|Beginning To Exist Or Develop|Adjective

3825|Natal|Of Or Relating To Birth|Adjective

3826|Nationality|Membership Of A Particular Nation Or State|Noun

3827|Natty|Smart And Fashionable|Adjective

3828|Nausea|A Feeling Of Unwellness, Usually With The Desire To Vomit|Noun

3829|Nauseate|To Cause Nausea|Verb

3830|Nautical|Of Or Pertaining To Sailors, Ships, Or Navigation|Adjective

3831|Naval|Of Or Relating To A Navy|Adjective

3832|Navel|The Belly Button|Noun

3833|Navigable|Deep Enough And Wide Enough To Afford Passage To Vessels|Adjective

3834|Navigate|To Control The Position And Course Of A Vehicle On A Journey|Verb

3835|Nebula|A Cloud In Outer Space Consisting Of Gas Or Dust|Noun

3836|Necrology|A Listing Of People Who Have Died During A Period Of Time|Noun

3837|Necromancy|A Method Of Divination Through Communication With The Dead|Noun

3838|Necropolis|A Large Cemetery, Especially One Of Elaborate Construction|Noun

3839|Necrosis|The Localized Death Of Cells Through Injury Or Disease|Noun

3840|Nectar|The Juice Of A Fruit Or A Blend Of Fruit Juices|Noun

3841|Nectarine|A Variety Of Peach Having A Smooth, Downless Skin.|Noun

3842|Nefarious|Extremely Wicked Or Villainous, Iniquitous|Adjective

3843|Negate|To Deny The Existence, Evidence, Or Truth Of|Verb

3844|Negation|The Act Of Negating Something|Noun

3845|Neglectful|Failing To Take Care Of Matters Which Require Attention|Adjective

3846|Negligee|An Item Of Women'S Nightwear, A Lacy Nightgown|Noun

3847|Negligible|Too Small Or Unimportant To Be Of Concern|Adjective

3848|Negotiable|Able To Be Traversed|Adjective

3849|Nemesis|An Archenemy|Noun

3850|Neocracy|Government By The New Or Inexperienced|Noun

3851|Neolithic|Hopelessly Outdated|Adjective

3852|Neologism|A Word Or Phrase Which Has Recently Been Coined|Noun

3853|Neology|The Study Or Art Of Neologising (Creating New Words)|Noun

3854|Neonate|A Newborn Infant, Recently Born Baby|Noun

3855|Neopaganism|A 20Th-Century Revival Of Interest In The Worship Of Nature|Noun

3856|Neophyte|A Beginner|Noun

3857|Nepotism|Favoritism Granted To Relatives Regardless Of Merit|Noun

3858|Nestle|To Settle Oneself Comfortably And Snugly|Verb

3859|Nestling|A Young Bird Not Yet Old Enough To Leave The Nest|Noun

3860|Nettle|To Sting Causing A Rash In Someone|Verb

3861|Network|To Interact For The Purpose Of Connections Or Advancement|Verb

3862|Neural|Of, Or Relating To The Nerves, Neurons Or The Nervous System|Adjective

3863|Neurology|The Branch Of Medicine That Deals With The Nervous System|Noun

